step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.11726095527410507,0.30106360837817187,0.0,0.00019272555482954205,0.0005707881129553499,0.0034769857078634538,dl
2,training,0.09075533598661423,0.16915620863437653,0.0,0.01652627115892199,0.0006350661805938729,0.003873762698732443,dl
3,training,0.05560765042901039,0.08936488628387446,0.0,0.05543370334717918,0.0010555380375170873,0.022924711265552938,dl
4,training,0.022774016484618187,0.0974495112895965,0.0,0.09485076344950168,0.0028045122115168243,0.07141425513249253,dl
5,training,0.018459340557456017,0.19179117679595947,0.0,0.13404743030077074,0.006879003676426387,0.14156938030788377,dl
6,training,0.026668693870306015,0.15702947974205017,0.0,0.17262422971274102,0.014076379139225277,0.23006826618605905,dl
7,training,0.03641790896654129,0.2834865599870682,0.0,0.21031902315356202,0.024745362789430975,0.3217104109318148,dl
8,training,0.03327876701951027,0.22620029747486115,0.0,0.24685555738125936,0.038703791592160315,0.40699135458087365,dl
9,training,0.020660068839788437,0.1804491998627782,0.0,0.26482543234971156,0.046865388625714294,0.44338084283747786,dl
10,training,0.03111058473587036,0.1744946539402008,0.0,0.31745532814015803,0.07443860237239852,0.5109694455252526,dl
11,training,0.03489183634519577,0.21988406777381894,0.0,0.3346838403925769,0.08422149470047588,0.520586471507811,dl
12,training,0.03215959668159485,0.17901617288589478,0.0,0.3861951677135876,0.11459431400416699,0.5442962504133556,dl
13,training,0.02874600701034069,0.18349286168813703,0.0,0.40323758565834844,0.12500054519893103,0.5510375497888518,dl
14,training,0.036625854671001434,0.21676073968410492,0.0,0.43703706312156576,0.1460821782399835,0.5629227833041285,dl
15,training,0.031209662556648254,0.2381884381175041,0.0,0.4875001020873777,0.17829902534254996,0.5732726723870514,dl
16,training,0.026095915585756302,0.2479674518108368,0.0,0.5209011497851243,0.20007233199813076,0.581763143889123,dl
17,training,0.01770779862999916,0.268965506926179,0.0,0.5541517821782674,0.2220710227072817,0.586206604508565,dl
18,training,0.04054983705282211,0.2807133588939905,0.0,0.570826393415111,0.23315768470801057,0.5872493668664697,dl
19,training,0.047442905604839325,0.2530467379838228,0.0,0.6040197642359774,0.2553352737088445,0.5903563466865358,dl
20,training,0.024652700871229172,0.25789743661880493,0.0,0.6371420370962433,0.2775412815062804,0.5895195901090537,dl
21,training,0.040638551115989685,0.2489144504070282,0.0,0.6704581626430823,0.2997664140223927,0.5864174325130119,dl
22,training,0.02447797730565071,0.2089732512831688,0.0,0.7037625054617003,0.3218078330060318,0.5811470148146219,dl
23,training,0.03910873085260391,0.2653165310621261,0.0,0.7542154993281619,0.35440536876862905,0.5653797558267357,dl
24,training,0.02342887967824936,0.2138946801424027,0.0,0.7711084806877561,0.3650700054994857,0.5602702185304007,dl
25,training,0.021715909242630005,0.1964089423418045,0.0,0.805184204741272,0.38614911717951395,0.5461139800471356,dl
26,training,0.04291091486811638,0.18201027810573572,0.0,0.8570022817436719,0.41664668590345383,0.5167775207456651,dl
27,training,0.0293227881193161,0.12188561260700215,0.0,0.8921980423813585,0.4361203987612949,0.49251022848868337,dl
28,training,0.027148930355906487,0.10800249874591827,0.0,0.9099683146917268,0.4454967857515553,0.4782308897156831,dl
29,training,0.03391295671463013,0.10970133543014526,0.0,0.9639580323675927,0.47207919175571683,0.4364094764327987,dl
30,training,0.019860459491610527,0.09003803133964539,0.0,0.982324341032466,0.48048535854491553,0.421609657599318,dl
31,training,0.03627514839172363,0.09896662831306458,0.0,1.0191939140038064,0.49633734950981695,0.39073209481180815,dl
32,training,0.024420417845249176,0.0913577675819397,0.0,1.0565362485695329,0.5110811358831122,0.3614146053443663,dl
33,training,0.03214992955327034,0.0930049195885658,0.0,1.094515322256427,0.5248242356094763,0.3332788698669484,dl
34,training,0.014173919335007668,0.05943352356553078,0.0,1.1515538482923962,0.5434582929036733,0.30153899684554064,dl
35,training,0.016530070453882217,0.07989469170570374,0.0,1.1707821122297761,0.5493598524555448,0.29473557929967836,dl
