step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.14835476875305176,0.013106048107147161,0.0,0.00017692330532383463,0.0005245261676974214,0.0031895620334222107,dl
2,training,0.00039050652412697673,0.20405036211013788,0.0,0.013043901107390093,0.0005723194960652087,0.0034846088601318695,dl
3,training,0.03489774465560913,0.14423450827598572,0.0,0.04577452030116673,0.001157829165065427,0.04113316849136612,dl
4,training,0.028365403413772583,0.09057384729385376,0.0,0.06384963084761967,0.0022578173859800336,0.08327957590996493,dl
5,training,0.008465178310871124,0.03884315490722656,0.0,0.1022229565081007,0.007285597882222771,0.1719849973464534,dl
6,training,0.0008399434154853225,0.008402183651924133,0.0,0.12163097505102162,0.011027389655722215,0.20621935668321642,dl
7,training,0.004074559547007084,0.02389538288116455,0.07666663401674549,0.14086737357451398,0.015340001825487472,0.2349656208901926,dl
8,training,0.011101532727479935,0.10836613923311235,0.07666663401674549,0.1793416268686118,0.0254236442843661,0.2771977952493404,dl
9,training,0.015573550015687943,0.08247406035661696,0.07666663401674549,0.21718909195824265,0.03702013641805525,0.3171357794422652,dl
10,training,0.022689297795295715,0.17635727487504482,0.07666663401674549,0.2733344290368887,0.05708870548622936,0.3681304212039788,dl
11,training,0.027713410556316376,0.20014603435993195,0.07666663401674549,0.2918218147406528,0.06439558919845557,0.3863297201725152,dl
12,training,0.012459389865398407,0.11869100667536259,0.07666663401674549,0.3281052460302212,0.08001512155784736,0.4266311497354947,dl
13,training,0.018208038061857224,0.12615525349974632,0.07666663401674549,0.36403434741123436,0.09711401982600468,0.4589183894129295,dl
14,training,0.022160260006785393,0.17858634144067764,0.07858857110475141,0.3995338448498472,0.1151756125213579,0.4809379225746457,dl
15,training,0.02457459643483162,0.14796099066734314,0.07858857110475141,0.43456675224455565,0.13390506729732238,0.49923908452823934,dl
16,training,0.013444120064377785,0.17665323242545125,0.07858857110475141,0.46948275862212224,0.1532516562368756,0.5101816636940782,dl
17,training,0.03144066408276558,0.19094530493021009,0.07858857110475141,0.5042450097325459,0.17286153003447174,0.517371101197275,dl
18,training,0.028213631361722946,0.14702118188142774,0.07858857110475141,0.5388455110053221,0.19275315969303897,0.5255637946667303,dl
19,training,0.023957151919603348,0.18084786087274554,0.11575157531239269,0.5733222352364914,0.21284894804040277,0.5291824733272956,nav
20,training,0.02385387010872364,0.18949106335639954,0.11575157531239269,0.6069744670832639,0.2325214620518393,0.5215795959372047,nav
21,training,0.027696864679455757,0.15485796332359314,0.11575157531239269,0.6422133124014158,0.2519776296471965,0.4853406160683345,nav
22,training,0.02364879846572876,0.14187811687588692,0.11575157531239269,0.6781202013831612,0.2700588284560631,0.4488159191089678,nav
23,training,0.02729157544672489,0.10007475689053535,0.11575157531239269,0.7146396950482005,0.2869086567206884,0.41529814712439334,nav
24,training,0.017718592658638954,0.10744282603263855,0.11575157531239269,0.7518138818224882,0.3025983032731608,0.3841548642454255,nav
25,training,0.02629053220152855,0.05966457724571228,0.13081016372099621,0.789109111107542,0.3170590472179224,0.3553390186769135,nav
26,training,0.013078657910227776,0.08716224879026413,0.13081016372099621,0.8270080444110817,0.3306179234710312,0.33411422808119806,nav
27,training,0.0180986188352108,0.10203082114458084,0.13081016372099621,0.8650115563628246,0.3434384465644006,0.3166441184990663,nav
28,training,0.010150020942091942,0.061008177697658546,0.13081016372099621,0.9031726475643506,0.3555457405276991,0.29762906092963404,nav
29,training,0.00926964171230793,0.05096029117703438,0.13081016372099621,0.9417016672224927,0.3670740899265776,0.286589397844611,nav
30,training,0.00653577595949173,0.03598215430974961,0.13081016372099621,0.9799878112665458,0.37822757265414314,0.2795011638474478,nav
31,training,0.002669742563739419,0.015547730028629303,0.10386421805673555,1.0185647409712169,0.38912641544015164,0.27047780818482453,nav
32,training,0.017590850591659546,0.0313558280467987,0.10386421805673555,1.0572043096334025,0.39966501764386475,0.26210236438866286,nav
33,training,0.004764434415847063,0.0821002833545208,0.10386421805673555,1.09582858700288,0.40981384077710914,0.25142258443400844,nav
34,training,0.008429291658103466,0.060437798500061035,0.10386421805673555,1.1347890317014875,0.41958705813691743,0.24008554775565044,nav
35,training,0.0030215131118893623,0.00771774351596833,0.10386421805673555,1.173549369745269,0.4289890301889857,0.23726803988805306,nav
36,training,0.0059340279549360275,0.08104179799556731,0.10386421805673555,1.2123343754599563,0.4384564242069368,0.2441513843376917,nav
37,training,0.005220322869718075,0.007905196398496631,0.0330121542368162,1.2509633875952566,0.4484256484121599,0.2648052261939147,dl
38,training,0.0031122486107051373,0.021750772371888157,0.0330121542368162,1.289179188302215,0.4590738054763357,0.272897314869582,dl
39,training,0.003035803558304906,0.0418933741748333,0.0330121542368162,1.3277591972710237,0.4699064949849158,0.273581733012607,dl
40,training,0.002325780689716339,0.07767114788293839,0.0330121542368162,1.3661677976966515,0.4807211795533749,0.2749140473989637,dl
41,training,0.005807403940707445,0.08271376043558121,0.0330121542368162,1.4045766238872275,0.49158799637311973,0.27689074162046645,dl
42,training,0.0030803242698311806,0.05265236273407936,0.0330121542368162,1.4430989019970937,0.5025908644103295,0.27967558095002076,dl
43,training,0.00540403975173831,0.06019368767738342,0.03559907438237843,1.4814815184903285,0.5135983456711943,0.2758813021269687,dl
44,training,0.002870387863367796,0.09308155626058578,0.03559907438237843,1.5201166076786063,0.5243460039542667,0.26608572709404105,dl
45,training,0.004212768282741308,0.10449264198541643,0.03559907438237843,1.5587494991685629,0.5347339528801285,0.25946427804665345,dl
46,training,0.0022957853507250547,0.13019554689526558,0.03559907438237843,1.597351205053225,0.5448595176184557,0.25423287349831414,dl
47,training,0.0020139608532190323,0.15358687192201614,0.03559907438237843,1.6361543974073547,0.5549008338901994,0.2532145484394203,dl
48,training,0.0015564481727778912,0.1684095486998558,0.03559907438237843,1.6746903696006221,0.5649381153013242,0.2559414460361803,dl
49,training,0.004256539046764374,0.17267069965600967,0.01111002083081601,1.7133342950489003,0.5751157979928854,0.2592592479944579,dl
50,training,0.010642800480127335,0.1734110936522484,0.01111002083081601,1.7519552782403034,0.5854366203871251,0.26335307503975003,dl
51,training,0.005570259410887957,0.1582514084875584,0.01111002083081601,1.7904340232496343,0.5958531773354439,0.26392895057988996,dl
52,training,0.004982721991837025,0.15931069105863574,0.01111002083081601,1.8291675210733531,0.606247716638807,0.2598968029980332,dl
53,training,0.0019315246026962996,0.1574707105755806,0.01111002083081601,1.8677240124925503,0.6164172929549394,0.25448675445050994,dl
54,training,0.008843809366226196,0.13983611017465594,0.01111002083081601,1.906478133881061,0.6263205760683948,0.2451672850578457,dl
55,training,0.004552226047962904,0.1370106004178524,0.05922731475131768,1.9453882756707146,0.6358665521261928,0.23627715270974428,dl
56,training,0.008387867361307144,0.14070810750126841,0.05922731475131768,1.984292934726893,0.6450470282781923,0.22645325001217392,dl
57,training,0.0036778573412448168,0.16199662536382672,0.05922731475131768,2.023432784559891,0.6538349659465068,0.21525631127658487,dl
58,training,0.004814292304217815,0.14073697850108147,0.05922731475131768,2.062538931122443,0.6622087545250622,0.2065837366173173,dl
59,training,0.006078850943595171,0.18199253082275388,0.05922731475131768,2.101717254812974,0.6702431702621978,0.19802355908122415,dl
60,training,0.005986058618873358,0.19106703996658325,0.05922731475131768,2.140954649977493,0.6779819006158734,0.19227292210605113,dl
61,training,0.008551981300115585,0.20807885378599167,0.08542614948438913,2.180231423905067,0.6855555590634598,0.188420363182111,dl
62,training,0.005347848404198885,0.22142228856682777,0.08542614948438913,2.2195466173638008,0.6929882898844428,0.18592615377387506,dl
63,training,0.014324847608804703,0.22824332490563393,0.08542614948438913,2.2587597013577305,0.7003985112934625,0.1879858176342176,dl
64,training,0.0058955419808626175,0.22344742342829704,0.08542614948438913,2.2980083388295536,0.7078977251010623,0.18840167945652905,dl
65,training,0.004191853106021881,0.22604816034436226,0.08542614948438913,2.3372820726772474,0.7153663292757463,0.18756247258170555,dl
66,training,0.012162718921899796,0.2694321908056736,0.08542614948438913,2.376545482930162,0.722821774604543,0.1867818156983254,dl
67,training,0.005798176396638155,0.17236466333270073,0.12201437374218314,2.415864698666928,0.7301690553838066,0.1816138627522336,nav
68,training,0.01009688526391983,0.16567911207675934,0.12201437374218314,2.4548032719997126,0.737101694534288,0.1621368180547637,nav
69,training,0.004160205367952585,0.21534859389066696,0.12201437374218314,2.494826034554375,0.7427615920162915,0.117461006700723,nav
70,training,0.007095289882272482,0.21015826612710953,0.12201437374218314,2.534828527292535,0.7465025835614291,0.06753679798302233,nav
71,training,0.009233830496668816,0.16162753477692604,0.12201437374218314,2.5751508128783436,0.7482357688573078,0.01968239150836341,nav
72,training,0.005906072445213795,0.19831857457756996,0.12201437374218314,2.61561861645004,0.7481825294453783,-0.017989398588145824,nav
73,training,0.005626035388559103,0.23989857733249664,0.1295079705867752,2.655628399957318,0.746896526377534,-0.04607711297925531,nav
74,training,0.0015270145377144217,0.1827056109905243,0.1295079705867752,2.6958403780209155,0.7445376519197908,-0.07019548255103181,nav
75,training,0.005231435410678387,0.13827455043792725,0.1295079705867752,2.7357342156470015,0.7413692594416212,-0.0877855835187353,nav
76,training,0.0016543894307687879,0.061748918145895004,0.1295079705867752,2.7755579485365147,0.7375511804075199,-0.10240548700490038,nav
77,training,0.0013296239776536822,0.008282694965600967,0.1295079705867752,2.81551573487222,0.7332143959020185,-0.11279058357444721,nav
78,training,0.0035238913260400295,0.033871948719024644,0.1295079705867752,2.854985293936445,0.7286335876334109,-0.11763422203624782,nav
79,training,0.0043032122775912285,0.04303785949014127,0.09206537579011928,2.894789525971744,0.7237841816137834,-0.12831242645711724,nav
