step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
37,training,0.0016464355867356062,0.021480562165379524,0.04878078740934877,1.2588964330575676,0.42130243518862565,0.3005943357904142,dl
38,training,0.0008335276506841183,0.018271371722221368,0.03577187474348042,1.2969740230537286,0.4330496528460848,0.2969411863348981,dl
39,training,0.0003726197173818946,0.00502334348857403,0.03577187474348042,1.3352979901079354,0.444683928561237,0.29218534827602055,dl
40,training,0.0015183471841737628,0.06815294176340103,0.03577187474348042,1.3736665155056025,0.4561569205040714,0.28912207550101543,dl
41,training,0.001109808450564742,0.03893972933292389,0.03577187474348042,1.4119295661794007,0.46743805919537956,0.28383875452922896,dl
42,training,0.0009525553323328495,0.007199971005320549,0.03577187474348042,1.4505182680810957,0.47856037532355433,0.27691608946888846,dl
43,training,0.0010495386086404324,0.0517914928495884,0.03577187474348042,1.48890988647763,0.4894149879444778,0.27405589759124965,dl
44,training,0.001318998052738607,0.06692299898713827,0.014286487440451488,1.5273702395849922,0.5002465513943909,0.27610481164901696,dl
45,training,0.0011502376291900873,0.05514737591147423,0.014286487440451488,1.5658495944109432,0.5112213215368061,0.2798715951368146,dl
46,training,0.0015231985598802567,0.06560882739722729,0.014286487440451488,1.6041489957755082,0.522273334091192,0.2800558823677703,dl
47,training,0.0023041244130581617,0.03759562224149704,0.014286487440451488,1.6427001438713105,0.533301688985016,0.2769738762447002,dl
48,training,0.001377295469865203,0.0524235013872385,0.014286487440451488,1.6811094776549818,0.5441856547982653,0.27452004222323884,dl
49,training,0.0004446337989065796,0.058516912162303925,0.014286487440451488,1.7195885378582048,0.5549315096682279,0.2697928079525369,dl
50,training,0.006004265509545803,0.14277908764779565,0.01503811345841353,1.7582408025297371,0.5655252150920733,0.26576446211575666,dl
51,training,0.0018422421999275684,0.13854855298995972,0.01503811345841353,1.7967431503249156,0.5759384237757642,0.26169247828402037,dl
52,training,0.0022078854963183403,0.1389104686677456,0.01503811345841353,1.8354696845745377,0.5862086427771421,0.25643996834316557,dl
53,training,0.0006602963549084961,0.14100105315446854,0.01503811345841353,1.8741618897949246,0.5962776457575515,0.2524998002325154,dl
54,training,0.004865875467658043,0.10700133070349693,0.01503811345841353,1.9128444936706135,0.6061358716564655,0.24623440197242677,dl
55,training,0.002477771369740367,0.11581922136247161,0.01503811345841353,1.9517633636082101,0.6157877950391241,0.24015543919549534,dl
56,training,0.0016624060226604342,0.13430632092058659,0.009241525828703958,1.9905404371457893,0.6252079753173376,0.23584413764987414,dl
57,training,0.0012350307079032063,0.15577987395226955,0.009241525828703958,2.029455951281654,0.6344801726463898,0.23214880661254483,dl
58,training,0.00479627400636673,0.16744744032621384,0.009241525828703958,2.068336742587097,0.6436710033335308,0.23284957370799564,dl
59,training,0.0014820555225014687,0.19871352240443232,0.009241525828703958,2.1070923370696875,0.652907384274121,0.23481220207610826,dl
60,training,0.0013642881531268358,0.19494749791920185,0.009241525828703958,2.1460275093240258,0.6622790870628755,0.2381287611711909,dl
61,training,0.0038470900617539883,0.20634942874312398,0.009241525828703958,2.18471495068797,0.671798868555717,0.2433401955735056,dl
62,training,0.008941748179495335,0.2399233728647232,0.03128249766602663,2.2234516548137138,0.6814707835143686,0.24532182497864774,dl
63,training,0.002448819577693939,0.16704099625349045,0.03128249766602663,2.26226492852742,0.6911837354223874,0.24400802642942374,dl
64,training,0.0016012529376894236,0.22279884666204447,0.03128249766602663,2.3010718626057325,0.7007401412817811,0.23704915618876107,dl
65,training,0.004348759073764086,0.2144398726522922,0.03128249766602663,2.3401087839584713,0.7099622350315533,0.2265649284554912,dl
66,training,0.011238910257816315,0.21351031959056854,0.03128249766602663,2.3791227127366277,0.7187655102451737,0.21705599737458586,dl
67,training,0.008777675218880177,0.14882394671440125,0.03128249766602663,2.418253389791322,0.7271439614573862,0.20403625744149,dl
68,training,0.004303009249269962,0.17226949334144592,0.08889844749495007,2.4575540076457285,0.7349939943126591,0.19011583891402076,dl
69,training,0.011742225848138332,0.18255352973937986,0.08889844749495007,2.4969387871509103,0.7423529266209602,0.17980374864502366,dl
70,training,0.0017494920175522566,0.18502674996852878,0.08889844749495007,2.5363746144361152,0.749335983157646,0.17132516719608337,dl
71,training,0.000744809687603265,0.20762201957404613,0.08889844749495007,2.575740552198374,0.7560548611354624,0.16699597046312312,dl
72,training,0.004204686265438795,0.21916446648538113,0.08889844749495007,2.615198521231232,0.7626305493693237,0.16278083343053945,dl
73,training,0.00889462511986494,0.21072873659431934,0.08889844749495007,2.654626247212626,0.7690370392444946,0.16041258763526214,dl
74,training,0.004823312163352966,0.19723553210496902,0.1163588447527213,2.694125075705167,0.7753999003988757,0.15850388495921794,nav
75,training,0.005529789254069328,0.17698702216148376,0.1163588447527213,2.7341490293884707,0.781337080864608,0.12597280923857335,nav
76,training,0.004251646809279919,0.14035584777593613,0.1163588447527213,2.7741559956941577,0.7854832298944137,0.07975358890003408,nav
77,training,0.005360184237360954,0.20217910036444667,0.1163588447527213,2.814569609591813,0.7878198180279807,0.03728277010349987,nav
78,training,0.002492035273462534,0.2212483063340187,0.1163588447527213,2.8547635227379495,0.7885681072518474,0.0017149476732420644,nav
79,training,0.0016426973743364215,0.2003035768866539,0.12719096261633464,2.8949646634405206,0.7880228283017563,-0.028450773941246014,nav
80,training,0.010247851721942425,0.24093063920736313,0.12719096261633464,2.9352139257047885,0.7863796407478661,-0.049823111547369625,nav
81,training,0.0042866854928433895,0.16474423557519913,0.12719096261633464,2.975115319373312,0.7840555354731994,-0.06704474067954128,nav
82,training,0.007010226137936115,0.14243975281715393,0.12719096261633464,3.0152072591613566,0.7810330830038865,-0.0833889601207964,nav
83,training,0.005280167330056429,0.1716538444161415,0.12719096261633464,3.0550567393456767,0.7774424769920073,-0.09587951245514666,nav
84,training,0.0033163558691740036,0.08876335993409158,0.11384583198447659,3.0948614113118937,0.7732891704727554,-0.11361350867874859,nav
85,training,0.0040306514129042625,0.031746149994432926,0.11384583198447659,3.1347462900905554,0.7683938453091167,-0.12958527960571706,nav
86,training,0.004619082435965538,0.019142951816320426,0.11384583198447659,3.1742443587242537,0.7631239343454042,-0.1342302927538215,nav
87,training,0.0011615488911047578,0.07266287133097649,0.11384583198447659,3.213933611042988,0.7576764161281678,-0.14045798460288986,nav
88,training,0.0073081678710877895,0.09838781133294106,0.11384583198447659,3.2535388959845797,0.7519708866112094,-0.14310873740841562,nav
89,training,0.00250157224945724,0.1072270330041647,0.11384583198447659,3.2929309525422514,0.7463546515063904,-0.1402817282751044,nav
90,training,0.0016364676412194967,0.06198849342763424,0.07210701560524965,3.332581679274258,0.74084310156825,-0.13559991752466263,nav
91,training,0.0016144091496244073,0.07048880495131016,0.07210701560524965,3.3720454883015423,0.735597210940895,-0.12996105586884713,nav
92,training,0.0005336450994946063,0.07801800779998302,0.07210701560524965,3.4116661671423985,0.7305104062182172,-0.12546287698975297,nav
93,training,0.009354842826724052,0.07406265661120415,0.07210701560524965,3.4513736347639354,0.7256184651083588,-0.11907856299949444,nav
94,training,0.0010723916348069906,0.018372390419244766,0.07210701560524965,3.4908713663403774,0.7210185341106449,-0.11342569694385651,nav
95,training,0.0035047102719545364,0.01643570512533187,0.07210701560524965,3.5306714634381473,0.7165663435019461,-0.10937573980629,nav
96,training,0.0029992572963237762,0.02840461581945419,0.03762182806212838,3.5703052867397127,0.7123784688485564,-0.10125414973009385,dl
97,training,0.001459020539186895,0.0030964426696300507,0.03762182806212838,3.609962455698718,0.7085356758616271,-0.09150026524005805,dl
98,training,0.0027179676108062267,0.003705985844135288,0.03762182806212838,3.649875197243053,0.7050286696726407,-0.0842220844550205,dl
99,training,0.001302857417613268,0.016443314030766487,0.03762182806212838,3.6895278402194474,0.7017990911237558,-0.07944827535849697,dl
100,training,0.005204766057431698,0.03931598458439112,0.03762182806212838,3.729414475164398,0.6987465164855767,-0.07242853150115454,dl
101,training,0.0011937617091462016,0.027771528810262684,0.03762182806212838,3.7692918972562195,0.6960434084638276,-0.06245755453638203,dl
102,training,0.002220520284026861,0.06205950025469065,0.02633354131399644,3.809068439134864,0.6936222752235089,-0.06160046760583421,dl
103,training,0.001544811762869358,0.05342550948262215,0.02633354131399644,3.8491731645541662,0.6910202442362738,-0.06944207405573946,dl
104,training,0.0009352058987133205,0.029573755338788026,0.02633354131399644,3.88893937335488,0.6881222621554232,-0.07614280933746115,dl
105,training,0.0036519253626465797,0.07691018655896187,0.02633354131399644,3.9288125813546846,0.685032679677746,-0.07766044915973037,dl
106,training,0.0026779072359204292,0.12039246410131454,0.02633354131399644,3.968800872501513,0.6818432964277389,-0.08278691406085266,dl
107,training,0.0005185295594856143,0.06971979141235352,0.02633354131399644,4.008509758917118,0.6783574635346127,-0.09481719499343587,dl
108,training,0.0029243696480989456,0.03450907766818999,0.011756056657768606,4.048446812142735,0.6743673930334686,-0.10216288509394628,dl
109,training,0.0012665358372032642,0.07841825857758522,0.011756056657768606,4.088115358750876,0.6703669448415219,-0.09800549786036472,dl
110,training,0.0017918210942298174,0.08699369616806507,0.011756056657768606,4.127861891155573,0.6664805214369279,-0.09872708855696449,dl
111,training,0.0006541015463881195,0.0470665842294693,0.011756056657768606,4.167762054763231,0.6624878729836615,-0.10057886131032161,dl
112,training,0.0012183792423456907,0.05314261466264725,0.011756056657768606,4.20724409386778,0.6585155076473628,-0.09894874003355818,dl
113,training,0.0023838363122195005,0.10959063097834587,0.011756056657768606,4.247070724508233,0.6546810339482328,-0.09255266111585578,dl
114,training,0.0034510749392211437,0.10301262326538563,0.020477996540647837,4.286820577690932,0.6510825783714499,-0.09026110378895486,dl
115,training,0.0016245973529294133,0.0902365706861019,0.020477996540647837,4.326508774163286,0.6474745421928036,-0.09104241749073541,dl
116,training,0.001469175680540502,0.0837205685675144,0.020477996540647837,4.366450798117015,0.6438396052974471,-0.08972763746102681,dl
117,training,0.0014419622020795941,0.06767886132001877,0.020477996540647837,4.406033571950874,0.6403704201115102,-0.08510732482095407,dl
118,training,0.0017556683160364628,0.0550769604742527,0.020477996540647837,4.4458377020763304,0.6371590023984299,-0.07505498646356686,dl
119,training,0.0008721848134882748,0.05578605085611342,0.020477996540647837,4.485760062149155,0.6343899016239168,-0.06314171792457733,dl
